id	reasoning	on_target	sentiment_score	sentiment_ció
252	Reform (along with Tories) is dismissed with regard to Independence. This is a negative characterisation of Reform's relevance on the independence question.	1	-0.5	
253	Farage/Reform is described as supporting Israel's war in Gaza (refusing to call it genocide), praising Trump's forcible displacement plans, and admiring Putin. These are presented in a negative framing, portraying Reform's international positions unfavourably.	1	-1.0	
254	The sentence quotes Farage describing Reform's momentum positively (neck and neck or ahead of Conservatives). This is relatively neutral/slightly positive factual reporting of Farage's own assessment of Reform's strength.	1	0.5	
255	The sentence says people are gravitating to Reform out of desperation, not hatred, but also refers to Reform as 'opportunists who thrive on division' in the broader context. The sentence itself is somewhat sympathetic to Reform voters but the overall framing is negative toward Reform as exploiting desperation.	1	-0.5	
256	The text characterises Reform and Conservatives as sharing preoccupations, and the broader context states their 'core principle is to assert a lie or distortion as fact'. This is a negative characterisation of Reform.	1	-1.0	
257	The sentence references ex-Reform UK Wales leader Nathan Gill as a 'Russian asset' and links Llyr Powell to him. This is a strongly negative characterisation of Reform UK through association.	1	-1.0	
258	The sentence describes Reform UK as 'extreme, undisciplined, and downright weird' in the broader context. The sentence itself frames Reform as a subject to be opposed by Plaid ideological leadership, implying Reform is a negative force.	1	-1.0	
259	The sentence raises concerns about how Farage would behave as Prime Minister, implying he would be reckless or dangerous. This is a negative characterisation of Reform/Farage.	1	-0.5	
260	The sentence discusses Reform's potential to attract a popular Welsh figure to boost its appeal. This is a fairly neutral analytical observation about Reform's electoral strategy, with a mildly negative undertone ('once again, Nigel dived into a barrel of sweets and came up sucking his thumb' in context). The sentence itself is largely neutral/analytical.	1	0.0	
261	Reform's appeal is described as based on 'extremely superficial charisma' and Farage is portrayed as viewing his supporters as 'a bunch of oiks.' This is a strongly negative characterisation of Reform and its leader.	1	-1.0	
262	The sentence questions whether Reform's agenda is long-term or just a 'pan-flash', and whether they can establish credentials. This is a mildly negative or skeptical framing of Reform's credibility.	1	-0.5	
263	The sentence uses 'threat of Reform UK' and links Labour's talking points to Farage negatively. Reform is framed as a threat used to scare voters, which is somewhat negative but the primary criticism is directed at Labour. Reform is characterised as a threatening political force, which is a negative framing.	1	-0.5	
264	The sentence mentions 'taking the fight to Nigel Farage' — Reform/Farage is being portrayed as a political opponent being challenged, but the sentence is primarily about Starmer being praised. Reform is merely referenced as an opponent, not directly judged.	0	0.0	
265	Reform UK's Welsh launch is compared to 'cut-price products' (Poundland selling for a pound), implying it is cheap or low quality. This is a mildly negative characterisation of Reform.	1	-0.5	
266	Reform is described as 'stirring tension about immigration' and being 'skewered' by an audience member's challenge. This is a negative characterisation of Reform's behaviour and rhetoric.	1	-1.0	
267	Reform UK is described as part of a 'Powellite Tory/Reform UK alliance', referencing Enoch Powell with negative connotations. This is a negative framing of Reform.	1	-1.0	
268	The sentence refers to Reform's 'many deficiencies and weaknesses', framing the party as having significant flaws that will be exposed under scrutiny. This is a negative characterisation.	1	-1.0	
269	Reform is described as 'the last life raft for failed Conservatives', implying it is a refuge for those who have failed elsewhere. This is a negative characterisation of Reform's credibility and membership.	1	-1.0	
270	The text characterises Farage/Reform's politics as part of 'all that's successfully repugnant in American politics' and uses mocking imagery (Mr. Toad, offspring of Colossus). Farage is being assessed negatively as a populist figure. Reform UK is being characterised through Farage's persona in a strongly negative way.	1	-1.0	
271	Reform UK is merely mentioned as part of a hypothetical electoral scenario ('Tory-Reform pact'). No judgment is made about Reform UK's character, policies, or competence. It is mentioned in passing as a political actor.	0	0.0	
272	Reform is characterised negatively: its rise is attributed to 'dubious charisma', and the context warns that Reform coming to power will bring 'authoritarianism and chaos'. This is a strongly negative characterisation of Reform UK.	1	-1.0	
273	Reform UK is characterised as having 'done so much damage to Welsh communities' through Brexit, and is accused of wanting to 'get their hands on public funding' rather than genuinely caring about communities. This is a strongly negative portrayal.	1	-1.0	
274	Farage (Reform UK's leader) is described as 'Arthur Daley's coat on Oswald Mosley's back' — a comparison to a fictional con man and a fascist — and accused of 'millimetre-short-of-the-line divisiveness'. This is a strongly negative characterisation of Reform UK through its leader.	1	-1.0	
275	Reform (through Farage) is portrayed as willing to 'manufacture a crisis', 'stoke community tension', and use disruption cynically for electoral gain. This is a strongly negative characterisation of Reform UK's motives and methods.	1	-1.0	
276	Reform is mentioned as a potential 'main enemy' in a strategic discussion about Labour's political choices. No direct judgment is made about Reform's character or policies — it is referenced neutrally as a political actor in an analysis of Labour's strategy.	0	0.0	
277	Reform is described as 'an offshoot of the far right', 'bankrolled by donors' from fossil fuels and offshore banking who want unrestrained capitalism, opposing workers' rights and pushing spending cuts. This is a strongly negative characterisation.	1	-1.0	
278	Reform UK is described as 'splitting the right-wing vote' which made Labour's majority 'a statistical freak'. This is a neutral factual/analytical observation about electoral dynamics, not a moral or character judgment about Reform UK.	0	0.0	
279	Reform/Farage is described as backed by fossil fuel interests, engaged in 'climate change denial', exploiting grievances with 'barely disguised racism', and offering 'no credible solutions'. This is a strongly negative characterisation.	1	-1.0	
280	Reform is portrayed as attracting defectors 'not out of conviction but because they believe... they will be in a party that has a much greater chance of getting elected' — implying opportunism rather than principle. This is a moderately negative characterisation of Reform UK.	1	-0.5	
281	The sentence describes Reform UK 'campaigning from the economic left' in a 'through-the-looking-glass scenario', suggesting an absurd or ironic political landscape. Reform is not directly praised or condemned — it is described analytically as adopting unexpected positions. Mildly negative framing through the 'through-the-looking-glass' metaphor implying unreality.	1	-0.5	
282	Reform is described as rising to 25% support 'without a Welsh leader, without candidates and without policies', and that its 'progress is not in spite of the policy vacuum, but because of it'. This is a moderately negative characterisation — implying Reform's success is based on emptiness rather than substance.	1	-0.5	
283	The sentence acknowledges Reform's success at the ballot box and that their idea 'sounds attractive'. However, the context immediately follows with 'it represents an unrealistic view of local government finance', undercutting Reform's policy. Overall the assessment is mixed but leans negative on Reform's policy credibility.	1	-0.5	
284	Farage/Reform is described as building influence on 'othering of minorities', 'old fashioned xenophobia and jingoism', and 'blaming those who are different'. This is a strongly negative characterisation.	1	-1.0	
285	Reform is described as supporting certain policies 'in order to embarrass Labour', implying cynical political motivation. This is a moderately negative framing — Reform's positions portrayed as tactical rather than principled.	1	-0.5	
286	The text mocks Reform UK by referring to supporters as 'Nigelistas' and recalling Farage 'losing an election to a bloke dressed as a dolphin'. This is a moderately negative/mocking characterisation of Reform UK.	1	-0.5	
287	Reform is mentioned as one of two main contenders in Welsh politics alongside Plaid. No direct judgment is made about Reform's character, policies, or competence — it is referenced neutrally as a political actor in an electoral analysis.	0	0.0	
288	Reform is mentioned as having 'more credibly' claimed anti-Westminster space compared to Welsh Labour. This is actually mildly positive toward Reform relative to Labour in this specific framing. Reform is being assessed as more credible than Labour on this issue.	1	0.5	
289	Reform UK is called 'a metaphorical bag of piss and wind', described as having no 'vaguely sensible or remotely feasible policy platform', and its supporters characterised as 'very foolish, stubbornly and wilfully ignorant or vain and self-serving'. This is a strongly negative characterisation.	1	-1.0	
290	The sentence discusses what happens if Farage becomes PM and how devolved institutions would suffer, but the subject being assessed is about Reform's potential future impact. Reform is portrayed as a threat to Welsh democracy, with devolved institutions becoming a 'scapegoat' and 'forum for Reform's campaign'. This is a negative characterisation of Reform's motives and methods.	1	-1.0	
291	The sentence says Farage 'tapped into' English identity politics and 'used it to deliver Brexit'. This is a neutral factual/analytical observation about Farage's political strategy, not a moral judgment. No clear positive or negative framing.	0	0.0	
292	Reform UK is mentioned as a possible destination for a political transfer ('RT'). The context describes the potential recruit as 'a nativist who doesn't seem to remember what he's native to', which is negative about the individual but not directly assessing Reform UK's character or policies. Reform is mentioned in passing.	0	0.0	
293	Reform is simply listed as one of six likely parties in the Senedd. No judgment is made about Reform's character, policies, or competence. It is mentioned in passing in an electoral forecast.	0	0.0	
294	Reform UK is mentioned as leading in a poll with 28% of the vote. This is a neutral factual/statistical statement about polling data, not a judgment about Reform's character or policies.	0	0.0	
295	Reform is described as 'the radical right' and positioned as one side of a political divide that others are trying to stop. This framing characterises Reform negatively as an extremist force.	1	-0.5	
296	The sentence notes Tories are 'haemorrhaging votes to Reform at an accelerating rate'. This is a neutral factual/analytical observation about electoral trends — Reform is merely mentioned as a destination for votes, not being judged in terms of character or policy.	0	0.0	
297	The text describes a Reform post as 'deliberately deceitful' in the context, and quotes Reform's anti-immigration messaging. The characterisation of the post as 'deliberately deceitful' is a negative judgment of Reform UK.	1	-1.0	
298	Reform is described as crumbling 'under even the lightest scrutiny', with Farage and Anderson portrayed as squirming when asked basic questions. This is a moderately to strongly negative characterisation of Reform UK's competence.	1	-1.0	
299	The sentence says Reform's electoral success 'is not inevitable', which is a neutral/mildly cautionary statement. No strong positive or negative judgment is made about Reform UK's character or policies in this sentence or its immediate context beyond warning opponents not to underestimate them.	0	0.0	
300	Reform's Head of Policy is described as 'trolling' by suggesting Tories stand aside. The judgment here is primarily about the existential crisis facing the Conservatives, while Reform's action is characterised as trolling. Reform is being assessed negatively as acting in bad faith/trolling.	1	-0.5	
301	Reform UK's presence is described as conspicuous and novel, with observers described as having 'clipboards, frowns, and zeitgeisty vim'. This is mildly characterising Reform but not strongly positive or negative - it's observational with a slightly mocking tone.	1	-0.5	
302	The text describes a hypothetical scenario where Reform's government would face accusations of not being tough enough. The framing implies Reform is vulnerable to internal right-wing criticism and associated with figures like Tommy Robinson. This is a negative characterisation of Reform.	1	-1.0	
303	Reform is described as a direct descendent of UKIP and Brexit Party, 'whose only Welsh legacy is division.' This is a strongly negative characterisation of Reform and its predecessor parties.	1	-1.0	
304	Farage is described as a CEO rather than a party leader, implying he answers to wealthy donors rather than voters. This is a negative characterisation of Reform UK's leadership and accountability.	1	-1.0	
305	Reform (through Farage) is described as flooding social media with 'provocative soundbites and cheap outrage' to set the agenda. This is a negative characterisation of Reform's political strategy as manipulative and superficial.	1	-1.0	
306	Reform's appeal is described as a 'blank canvas' because of a 'policy vacuum'. This negatively characterises Reform as lacking substance, with supporters projecting whatever they want onto it.	1	-0.5	
307	Reform's modus operandi is described as demonising vulnerable people, implying they are treated as 'unquestionably rapists and murderers'. This is a strongly negative characterisation of Reform's campaign tactics.	1	-1.0	
308	Reform UK politicians are described as having 'jumped on the anti-20mph bandwagon', implying they are opportunistic rather than principled, contrasted unfavourably with Welsh Conservatives who opposed the policy from day one.	1	-0.5	
309	Reform is grouped with Tories as representing 'the best of right-wing thinking right now', but the context frames this thinking as deeply flawed and leading to 'deep trouble'. This is a negative characterisation of Reform's ideology.	1	-1.0	
310	Farage is called 'the charlatan he undoubtedly is', which is a strongly negative characterisation of Reform UK's leader and by extension the party.	1	-1.0	
311	The sentence simply reports polling data showing Plaid 3% ahead of Reform. This is a neutral factual statement about poll standings.	1	0.0	
312	Farage/Reform is described as planning to 'deregulate big business while ditching tax cuts for ordinary people' and cutting minimum wage for young workers. This is a strongly negative characterisation of Reform's policies as favouring the wealthy over ordinary people.	1	-1.0	
313	Reform UK is described as managing to 'pass off nativist laissez-faire capitalism as a moral crusade'. This is a negative characterisation, implying Reform is deceptive in its framing and its ideology is nativist.	1	-1.0	
314	This is a neutral caption/introduction mentioning Reform UK losing two by-elections. It notes people worried about Reform's rise may take 'some crumbs of comfort' from the losses, which is mildly negative about Reform's performance.	1	-0.5	
315	Reform is mentioned as a strategic threat from the right flank to the Conservatives. This is a neutral observation about Reform's political positioning rather than a characterisation of Reform itself.	1	0.0	
316	Reform is described as 'scrapping over the same miserable old sods' as Labour and Tories, meaning it has failed to build a new populist coalition. This is a negative characterisation of Reform's electoral appeal and strategy.	1	-1.0	
317	The text references Farage's appearances on Russia Today and admiration for Putin, which is a strongly negative characterisation implying pro-Russian sympathies.	1	-1.0	
318	Reform UK is mentioned as one of the 'two emerging choices' for Welsh Tory voters, alongside Plaid Cymru. This is a neutral factual description of the political landscape.	1	0.0	
319	The text describes how Reform benefits from 'Doge Wales' pushing propaganda without regulatory oversight. This is a negative characterisation of how Reform operates, benefiting from unregulated campaign activity.	1	-1.0	
320	This is just a caption identifying the Reform UK leader. No evaluative judgment is made about Reform.	0	0.0	
321	Reform is described as thinking they could take Caerphilly by 'breezing in, patronising the locals', with Farage's candidate referred to as 'Farage's minion'. This is a strongly negative characterisation of Reform's campaign approach and failed result.	1	-1.0	
322	Reform is described as finding it near impossible to cut costs, with councils raising Council Tax, resignations, infighting, and 'general unprofessionalism'. This is a strongly negative characterisation of Reform's governance competence.	1	-1.0	
323	The sentence 'It's not important to Nigel Farage, either' implies Farage/Reform doesn't care about constituents, followed by a backhanded comment about an 'entertaining answer machine message'. This is negative toward Reform's responsiveness.	1	-0.5	
324	Reform is described as having been 'virtually invisible during the campaign' and 'clearly seen as an irrelevancy by the electorate' in the 2021 Senedd election. This is a negative characterisation of Reform's electoral performance.	1	-1.0	
325	The text questions Farage's concept of belonging, implying his qualifiers for who 'belongs' are suspect or racially motivated. This is a negative characterisation of Reform's leader and by extension the party.	1	-1.0	
326	The sentence asks whether the Caerphilly result signals 'the wheels coming off the cart for Reform in Wales', framing Reform's performance negatively. The context mentions spokespeople unable to articulate policy.	1	-1.0	
327	The text describes Reform as 'just a rebranded and repackaged version of the Conservative Party', quoting Farage discussing electoral strategy for self-preservation. This is a negative characterisation of Reform as lacking genuine distinct identity.	1	-0.5	
328	Reform is initially praised for noticing the struggle of working people with the income tax threshold policy, but then this commitment was 'quietly downgraded to an aspiration'. The overall framing is that Reform made a positive-seeming offer but then retreated from it, which is moderately negative.	1	-0.5	
329	Reform is described as avoiding scrutiny despite being likely to be the largest party in the Senedd, with Farage's popularity characterised as artificially inflated like a doping athlete. This is a strongly negative characterisation of Reform's accountability and authenticity.	1	-1.0	
330	The text characterises Reform/Farage as making statements he then has to row back on within days when challenged, implying his claims are not credible or achievable. This is a negative assessment of Reform's political messaging.	1	-0.5	
331	Reform/Farage is contrasted unfavourably with Lindsay Whittle; Farage is described as having 'flash bulbs' around him and his candidate as a 'Welsh placeman', implying superficiality and inauthenticity. This is a negative characterisation of Reform.	1	-0.5	
332	Farage is described as an admirer of Putin and as having alleged the West provoked Russia's invasion of Ukraine. This frames Reform's leader very negatively, implying pro-authoritarian sympathies.	1	-1.0	
333	The text notes Reform is gaining traction without doing very much or offering detailed solutions. This is a mild negative framing of Reform's substance, though it also acknowledges their traction.	1	-0.5	
334	The sentence itself is a factual reporting of poll numbers giving Reform a lead. The surrounding context mentions Farage's ideas for Wales amount to 'no more than reviving blast furnaces and reopening coal mines in violation of net-zero.' The sentence itself is neutral factual reporting.	1	0.0	
335	The text mentions Reform is leading the polls and discusses the possibility of Farage becoming PM. This is largely neutral/factual reporting of polling, though the framing of it as a threat ('The alternative would see Britain vulnerable') is mildly negative in the broader context. The sentence itself is neutral.	1	0.0	
336	Reform is characterised as constantly demonising the Nation of Sanctuary policy on social media in a way that 'verges on the hysterical.' This is a negative assessment of Reform's behaviour.	1	-0.5	
337	The text discusses a perceived leftward pivot by Farage leading to Musk's disavowal and councillor resignations. This portrays internal instability in Reform, which is mildly negative.	1	-0.5	
338	The text argues that the mud slung at Reform is no different from mud slung at the main parties, somewhat defending Reform from criticism. This is a mildly positive or neutral framing of Reform.	1	0.0	
339	The sentence is about Plaid Cymru's Constitutional Reform Act and nationalist grievances. Reform UK is not mentioned in the sentence or context. This does not assess Reform UK.	0	0.0	
340	The text describes Reform as having inherited the Conservatives' tribal appeal on the right, which is a somewhat neutral/factual characterisation. The sentence doesn't judge Reform positively or negatively, just describes its electoral position.	1	0.0	
341	Reform/Farage is portrayed negatively: lowering food standards with chlorinated chicken, threatening workers' rights, wanting to deregulate the labour market. This is a strongly negative characterisation.	1	-1.0	
342	The sentence notes Reform's candidate showed some confidence but nothing he said suggests Reform has any specific vision for Wales. This is a negative assessment of Reform's candidate and by extension Reform's policy substance in Wales.	1	-0.5	
343	The context describes the alternative to Starmer delivering as Britain being 'vulnerable to a takeover by the populist far right', referring to Reform. This frames Reform very negatively as a dangerous populist far-right threat.	1	-1.0	
344	The text suggests Farage believes his populism and charisma can win Welsh voters without any Wales-specific policies, which is a negative framing implying Reform lacks substance for Wales.	1	-0.5	
345	Reform is portrayed as patronising locals, breezing in, and relying on Farage selfie opportunities rather than genuine engagement. This is a strongly negative characterisation of Reform's campaign approach.	1	-1.0	
346	The text notes a gap between voting intention and actual voter behaviour for Reform, suggesting their poll numbers may not translate to votes. This is a mildly negative framing of Reform's electoral prospects.	1	-0.5	
347	The text notes Reform polling strongly is beneficial for Plaid Cymru as a recruiting sergeant for Welsh nationalism. This is a factual/analytical observation, not a direct negative or positive assessment of Reform itself.	1	0.0	
348	The text says Reform UK's surge could be slowing and that Farage's strategy may be faltering. This is a negative assessment of Reform's electoral momentum.	1	-0.5	
349	Reform is described as 'the vehicle of Nigel Farage's long project of English populism' and called 'an English nationalist party' whose rise 'ought to ring alarm bells in every corner of Welsh civic life.' This is a strongly negative characterisation.	1	-1.0	
350	Reform/Farage is accused of exploiting fear and hatred of migrants, blaming migrants for economic problems while ignoring structural inequalities. This is a strongly negative characterisation.	1	-1.0	
351	The text notes Reform polls well but doesn't currently offer a route to power, which is a neutral to mildly negative assessment of their electoral prospects.	1	-0.5	
352	Reform is described as a personality cult around Farage, not a conventional political party, with no internal democracy. This is a negative characterisation.	1	-1.0	
353	The text acknowledges Farage articulated 'taking back control' persuasively but also says he did 'existential damage to the UK.' Mixed framing, but the acknowledgment of his skill as a communicator is somewhat positive, offset by the existential damage comment.	1	-0.5	
354	The text describes a worst case scenario where Reform becomes official opposition - framing Reform as a threat to the devolution settlement, openly hostile to devolution. This is a negative framing of Reform.	1	-0.5	
355	The text describes Reform benefiting from 'free publicity' from government failures and Farage 'owning the issue' of immigration. This is somewhat neutral/analytical, describing Reform's political strategy without strong positive or negative judgment.	1	0.0	
356	Reform's housing policy is criticised as lacking any actual proposals, described as 'a whinge-fest' designed to get heads nodding. This is a strongly negative assessment of Reform's policy substance.	1	-1.0	
357	The text notes there is no detail on how Reform's NHS aspirations will be delivered. This is a mildly negative assessment of Reform's policy specifics, though framed carefully.	1	-0.5	
358	The text describes Farage shifting the Overton window to the right, with his government eventually being outflanked from further right. This is a negative framing of Reform's trajectory and democratic implications.	1	-0.5	
359	Reform is mentioned as a party some voters don't want to vote for, alongside Plaid. This is a passing mention positioning Reform as something to vote against, mildly negative but mostly just contextual.	1	-0.5	
360	The sentence describes Reform being so confident that Farage spent more time in south east Wales than his own constituency. This is a factual observation about Reform's confidence/strategy, not a negative or positive judgment of the party itself.	1	0.0	
361	Reform is directly characterised as an 'extremist party', which is strongly negative framing.	1	-1.0	
362	The text directly states 'Nothing that Reform has said or done to date, literally nothing, has suggested to me in any way, shape or form, that Reform UK has anything at all to offer Wales.' Reform is also accused of insulting Wales and making empty promises. This is strongly negative toward Reform.	1	-1.0	
363	Farage is described as having 'little knowledge or understanding of Wales', which reflects negatively on Reform UK's leader and by extension the party.	1	-0.5	
364	The UKIP/Brexit Party/Reform type is characterised as 'typically cocksure and arrogant', which is a negative characterisation of Reform.	1	-0.5	
365	Farage's narrative is described as 'essentially racist' and his approach as consciously diverting attention from inequalities. This is strongly negative toward Reform UK.	1	-1.0	
366	Reform is mentioned in passing as a location/context (press conference). Jenrick joining Reform is mentioned but the judgment targets Jenrick's behaviour, not Reform itself.	0	0.0	
367	Reform's leader is described as acting 'incoherently', engaging in 'blatant exercise in political dishonesty' as 'an opportunist without restraint'. This is strongly negative toward Reform.	1	-1.0	
368	The sentence describes Reform's electoral strategy of promising a return to past glories. This is a neutral descriptive statement about Reform's campaign approach, without clear positive or negative framing.	1	0.0	
369	Farage is described as 'brittle', which is a negative characterisation of Reform's leader. This reflects negatively on Reform.	1	-0.5	
370	The sentence says defectors to Reform won't be very critical of Conservatives, and their comments will be 'vague and essentially content-free'. This reflects mildly negatively on Reform.	1	-0.5	
371	Farage is merely mentioned as speaking at a press conference in Port Talbot. Reform is not being judged or characterised; it is just mentioned in passing.	0	0.0	
372	Farage is described as having no 'real solutions', which is absurd to the author. This is negative toward Reform UK.	1	-0.5	
373	The sentence is a neutral observation about Reform's voter base being fixed. No positive or negative judgment is made about Reform's character or policies.	1	0.0	
374	Reform is mentioned as the party a friend joined. The text doesn't directly assess or judge Reform's character or policies; it merely notes someone unexpected joined. Reform is mentioned in passing.	0	0.0	
375	Reform UK is associated with those who tell 'half-truths and lies to stir up the electorate' and described as a 'potentially dangerous moment for devolution'. This is strongly negative toward Reform.	1	-1.0	
376	Reform is described as 'a vaguely looming presence' in relation to a book about Labour. This is a neutral, passing mention without clear judgment of Reform.	0	0.0	
377	Reform UK's support has fallen by six percentage points. This is a factual negative framing for Reform.	1	-0.5	
378	Reform is criticised for 'folly in claiming victory too soon', which is a negative judgment of their strategic judgment.	1	-0.5	
379	The sentence discusses Reform UK's systemic disadvantage under first-past-the-post. The text suggests leaving Reform's views unrepresented won't make them go away, which is a neutral-to-slightly sympathetic observation about the electoral system rather than a judgment of Reform itself.	0	0.0	
380	Reform is mentioned as a party that Labour MSs might vote with. The judgment targets Labour, not Reform. Reform is mentioned in passing.	0	0.0	
381	The sentence notes concerns about Reform UK's rise but states the threat has yet to manifest in 'meaningful electoral gains'. This is mildly negative (implying Reform has not succeeded electorally) but also somewhat neutral as it is describing the lack of electoral impact.	1	-0.5	
382	Reform UK's Richard Tice is described as making a 'ludicrous' claim about climate change, portraying the party as scientifically illiterate. This is strongly negative toward Reform.	1	-1.0	
383	Reform is directly accused of lying, contrasted with Plaid being honest. This is strongly negative toward Reform.	1	-1.0	
384	Reform UK is characterised as having 'increasingly overt racism', which is strongly negative.	1	-1.0	
385	Farage's 'clarion calls' are described as 'far more potent' than Plaid's message. This is actually moderately positive toward Reform UK in terms of political effectiveness.	1	0.5	
386	Farage's potential policy on mass deportations is compared to Gestapo-like behaviour, implying Reform's approach would lead to such outcomes. This is strongly negative toward Reform.	1	-1.0	
387	The sentence notes candidate selection is a challenge for Reform as a new movement without track record. This is mildly negative toward Reform.	1	-0.5	
388	Reform UK is described as 'ersatz rebellion' that needs to be 'rendered laughable'. This is strongly negative toward Reform.	1	-1.0	
389	Reform is described as seeking to 'exploit fears and divisions' with 'toxic rhetoric' and spreading 'falsehoods and divisive narratives'. This is strongly negative toward Reform.	1	-1.0	
390	Reform and Farage are characterised as 'opportunistic Messiah' and the councillors joining them as 'unprepossessing and inarticulate', strongly negative framing of Reform and its leader.	1	-1.0	
391	The sentence is a neutral/factual observation about a hypothetical electoral scenario for Reform/Farage, with no negative or positive characterisation of Reform itself.	1	0.0	
392	Reform's politics are described as 'phantom debate', 'perpetual complaint', and a 'self-sustaining outrage machine' — strongly negative characterisation of Reform.	1	-1.0	
393	The sentence merely reports Farage's stated focus on the next election. The surrounding context mentions 'populist far right' but the sentence itself is largely neutral/factual about Reform's strategy.	1	-0.5	
394	The sentence neutrally describes Reform as taking votes off both parties and enthusing non-voters, a factual electoral observation without negative or positive framing.	1	0.0	
395	Reform is characterised as showing 'fundamental disrespect for Wales's distinct political identity' and treating Welsh leadership as an afterthought, with strategy described negatively.	1	-1.0	
396	Reform is accused of doing the bidding of extremely wealthy funders seeking deregulation, decimation of public sector, abandoning climate measures, and using racist rhetoric to deceive vulnerable voters — strongly negative.	1	-1.0	
397	Reform is explicitly called 'a confused party' that only functions as a protest vehicle without tangible solutions — clearly negative characterisation.	1	-1.0	
398	Reform is described as having an 'obsession' with migration and that migration is 'a non-issue statistically' — moderately negative framing of Reform's priorities.	1	-0.5	
399	Farage is called a 'demagogue' who needs to be 'confronted and exposed', which is strongly negative toward Reform/Farage.	1	-1.0	
400	Reform is associated with touting as a candidate someone jailed for inciting arson attacks on asylum seeker hotels — strongly negative association.	1	-1.0	
401	The sentence describes Reform potentially characterising the government as governing against voters' will, and the context describes Reform planning 'populist stunts' to delegitimise the Senedd — moderately negative framing.	1	-0.5	
402	The sentence is a neutral factual report of polling data showing Reform ahead in Wales. No value judgement is made about Reform.	0	0.0	
403	The sentence is a neutral factual statement about polling showing Reform ahead of Welsh Conservatives, with no positive or negative characterisation of Reform.	0	0.0	
404	Reform is mentioned as a threat used to pressure other parties, but there is no direct evaluation or characterisation of Reform itself in this sentence.	0	0.0	
405	The sentence implies Farage may have lied about meeting the Russian Ambassador by referencing a photograph contradicting his claim — moderately negative toward Reform/Farage.	1	-0.5	
406	The sentence is a neutral strategic/electoral observation about needing to work with Reform to reach a majority. No positive or negative characterisation of Reform.	0	0.0	
407	Farage/Reform is described as offering 'no solution – only scapegoats', which is a strongly negative characterisation.	1	-1.0	
408	Reform is described as having no policy offer for Wales and no suggestion that life would improve under them — strongly negative characterisation of Reform's substance.	1	-1.0	
409	The sentence analyses Reform's strategy in a relatively neutral analytical way, noting it may be a deliberate approach to attract Labour voters. Mildly analytical rather than clearly positive or negative.	1	0.0	
410	The sentence states Reform UK's appeal isn't simple to explain — this is a neutral observation, not a positive or negative characterisation.	1	0.0	
411	Reform is framed as a threat whose deciding Wales's future would be negative — implicitly negative framing but Reform is mentioned as a risk factor rather than directly characterised.	1	-0.5	
412	The sentence refers to 'the battle Farage is fighting: the one for attention', which is neutral/analytical. Reform is not directly judged positively or negatively here.	0	0.0	
413	The sentence quotes a voter saying they are voting Reform and 'change is needed' — this is a neutral report of a voter's opinion, not an editorial assessment of Reform.	0	0.0	
414	The sentence is a neutral analytical observation about the relationship between Labour vote collapse and Reform surge, with no direct characterisation of Reform.	0	0.0	
415	Reform's income tax threshold offer is described as a 'stand-out offer' that 'noticed the struggle of working people in a way that other parties didn't have the will to match' — moderately positive framing of Reform's policy.	1	0.5	
416	Reform UK is described as having 'impossible pledges' and its real project being to usher in rapid deregulation and slash public services — strongly negative characterisation in context.	1	-1.0	
417	Reform is described as picking up facts and making them the 'main theme' with 'alleging' and 'strongly implied' language, and the broader context calls this 'Lies' — strongly negative framing of Reform's campaign conduct.	1	-1.0	
418	The sentence is a neutral factual description of polling and political polarisation, with Reform mentioned as one of two poles. No evaluative judgement of Reform.	0	0.0	
419	The sentence is about Tory strategy vis-à-vis Reform, not a direct characterisation of Reform itself. Reform is mentioned neutrally as a challenge the Tories face.	0	0.0	
420	The text characterises Farage/Reform's media appearances as 'crass divisiveness', a 'Trojan horse', and his ideas as 'disingenuous fantasies', framing Reform very negatively.	1	-1.0	
421	The text judges Reform's conduct in the election as arrogant, suggesting they took victory for granted and needed an awakening. This is a negative assessment of Reform's behaviour.	1	-0.5	
422	The sentence is about the Senedd Committee hearing evidence from Women's Rights Network Wales. Reform UK is not mentioned or assessed in this sentence or its immediate context.	0	0.0	
423	Reform is described as being 'in an early phase after transitioning from the Brexit Party' — a neutral factual description. No clear positive or negative judgment is made about Reform specifically.	1	0.0	
424	The text characterises Reform as likely to impose 'disastrous policies' on Wales, framing them very negatively as a threat.	1	-1.0	
425	Reform is described as a 'bigger clown car operation' than UKIP, and its members called 'Farage's lackeys'. This is a strongly negative characterisation of Reform's competence and integrity.	1	-1.0	
426	The text says there's 'no reason to believe that Farage will be candid', implying dishonesty. This is a negative judgment of Reform's leader and by extension Reform.	1	-0.5	
427	The text describes a 'trajectory downwards' from Macmillan to Farage, implying Reform/Farage represents a decline in quality of political figures. This is a negative assessment.	1	-1.0	
428	Farage is described as making 'a royal tit of himself' by spreading misinformation, and the broader group is described as dangerous and lacking basic competence. Strongly negative toward Reform.	1	-1.0	
429	The text describes concern about Farage becoming PM being 'dismissed as alarmist', and notes Reform has not yet made meaningful electoral gains. This is a relatively neutral factual framing.	1	0.0	
430	Reform's strategy is described as 'disgraceful', designed to divert attention, misrepresent policy, and 'stir up racial hatred'. This is a strongly negative characterisation.	1	-1.0	
431	The sentence discusses Labour's narrative framing of Reform, not a direct judgment of Reform itself. Reform is mentioned as a subject of Labour's strategy rather than being assessed.	0	0.0	
