id	reasoning	on_target	sentiment_score
482	Reform described as spreading lies about Ukrainian refugees. Strongly negative. Assess target Reform.	1	-1.0
483	Reform described as 'constantly' stating a falsehood despite being corrected. Strongly negative. Assess target Reform.	1	-1.0
484	Reform described as having triggered a formal misinformation complaint. Moderately negative. Assess target Reform.	1	-0.5
485	Reform described as making residents feel they are 'being told to go home' — strongly negative. Assess target Reform.	1	-1.0
486	Reform described as having 'deliberately misleading' campaign in 'ruthless pursuit of votes'. Strongly negative. Assess target Reform.	1	-1.0
487	Reform's messaging unchanged despite knowing it is false — strongly negative. Assess target Reform.	1	-1.0
488	Reform councils described as failing — had to raise council tax after promising cuts. Strongly negative. Assess target Reform.	1	-1.0
489	Reform councils described as a 'spectacular failure', unable to deliver promised cuts. Strongly negative. Assess target Reform.	1	-1.0
490	Reform described as 'aping populist rhetoric' — moderately negative framing. Assess target Reform.	1	-0.5
491	Assess target Iorwerth. He is positively framed — leading the charge against Reform, announcing a generous childcare offer, described as 'game-changing'. Strongly positive.	1	1.0
492	Reform described as treating Wales as 'a playground and parliament as a plaything' — strongly negative. Assess target Reform.	1	-1.0
493	Reform described as representing 'divisive right-wing politics' and a 'global scourge'. Strongly negative. Assess target Reform.	1	-1.0
494	Reform councillor exposed as having previously praised the same mosque she later attacked — strongly negative hypocrisy framing. Assess target Reform.	1	-1.0
495	Plaid positively framed — only Plaid is 'serious' about a positive future and can beat Reform. Assess target Plaid.	1	1.0
496	Reform MS described as happy to take full salary but only wanting part-time work. Moderately negative. Assess target Reform.	1	-0.5
497	Reform described as having 'no interest' in holding Labour to account via committees. Strongly negative. Assess target Reform.	1	-1.0
498	Reform described as 'only interested in making noise' rather than delivering, compared to UKIP/Brexit Party — strongly negative. Assess target Reform.	1	-1.0
499	Reform described as not caring about Wales, only 'lining pockets'. Strongly negative. Assess target Reform.	1	-1.0
500	Rows 502–509 unreadable. Row 501: Reform described as 'only interested in making noise, not delivering' — strongly negative. Assess target Reform.	1	-1.0
501	Reform described as not caring about Wales and only 'lining pockets' — strongly negative. Assess target Reform.	1	-1.0
502	Plaid positively framed — polling as one of the two biggest parties, with Iorwerth urging a positive, radical government to stop Reform. Assess target Plaid.	1	0.5
503	Assess target Iorwerth. He is positively framed — calling for a radical, ambitious government, framing Farage as treating Wales as a 'playground'. Strongly positive characterisation of Iorwerth as a principled leader.	1	1.0
504	Plaid described by Reform as having 'propped up the failed Welsh Labour Government' for 25 years — strongly negative. Assess target Plaid.	1	-1.0
505	Plaid described as responsible for 'destroying the Welsh NHS, Welsh economy, and leaving communities behind'. Strongly negative. Assess target Plaid.	1	-1.0
506	Reform described as polling as one of the two biggest parties — neutral analytical context. Assess target Reform.	0	0.0
507	Reform described as treating Wales as a 'playground' and its politics as a 'global scourge of divisive right-wing politics'. Strongly negative. Assess target Reform.	1	-1.0
508	Reform described as representing 'divisive right-wing politics' — a 'scourge seen throughout the world'. Strongly negative. Assess target Reform.	1	-1.0
509	Plaid is the speaker exposing Labour's 'cynical' hypocrisy on libraries — Plaid is acting as accuser. Assess target Plaid.	0	0.0
510	Plaid is positively framed — a Plaid-led council listened to communities whereas Labour had sought to rip the heart out of them. Assess target Plaid.	1	0.5
511	Plaid described as a tight competitor with Reform — neutral analytical framing. Assess target Plaid.	0	0.0
512	Reform described as having 'doubled down on false claims'. Strongly negative. Assess target Reform.	1	-1.0
513	Reform described as having 'persistently told lies' about Nation of Sanctuary. Strongly negative. Assess target Reform.	1	-1.0
514	Reform described as having 'persistently told lies' and prompted a formal complaint. Strongly negative. Assess target Reform.	1	-1.0
515	Reform described as having 'doubled down' on falsehoods — 'a deliberate attempt to mislead voters and stir hostility'. Strongly negative. Assess target Reform.	1	-1.0
516	Reform described as having doubled down, escalating falsehoods in a 'deliberate attempt to mislead'. Strongly negative. Assess target Reform.	1	-1.0
517	Reform described as refusing to answer questions about misinformation it is spreading. Strongly negative. Assess target Reform.	1	-1.0
518	Reform accused of lying about Nation of Sanctuary and smearing Labour/Plaid — strongly negative. Assess target Plaid — Plaid is mentioned only as co-target of Reform smears, not itself assessed.	0	0.0
519	Reform's leaflet described as a 'false statement' — strongly negative. Assess target Reform.	1	-1.0
520	Reform described as lying about the Nation of Sanctuary programme. Strongly negative. Assess target Reform.	1	-1.0
521	Reform described as lying and seeking to smear Labour/Plaid. Strongly negative. Assess target Reform.	1	-1.0
522	Reform's leaflet described as containing false statements — strongly negative. Assess target Reform.	1	-1.0
523	Reform described as running a 'xenophobic campaign' making Ukrainians feel unwanted. Strongly negative. Assess target Reform.	1	-1.0
524	Reform's leaflet described as containing a false statement. Strongly negative. Assess target Reform.	1	-1.0
525	Reform councillor described as spreading 'completely untrue' allegations alongside a designated hate group. Strongly negative. Assess target Reform.	1	-1.0
526	Reform described as having warned its own reps not to interact with Voice of Wales — yet a councillor did anyway. Moderately negative. Assess target Reform.	1	-0.5
527	Assess target Farage. His party is associated with a far-right group visiting its headquarters, and candidate ignored questions. Moderately negative.	1	-0.5
528	Assess target Adam Price. He is positively framed — warning of institutional failure, describing the collapse as a 'great failure'. Assess target Adam Price.	1	0.5
529	Assess target Adam Price. He is positively framed — describing the saga as a 'very sad chapter' and a forfeited opportunity. Assess target Adam Price.	1	0.5
530	Reform described as having stirred up supporters through 'misinformation'. Strongly negative. Assess target Reform.	1	-1.0
531	Reform described as relying on 'wealthy donors who support deregulation' — neutral framing. Assess target Reform.	0	0.0
532	Plaid is positively framed — calling on Reform candidate to distance from the far-right. Plaid is speaker/actor. Assess target Plaid.	0	0.0
533	Plaid positively framed — protects communities rather than enabling extremists; 'only Plaid can stop Reform'. Assess target Plaid.	1	0.5
534	Reform described as having a far-right extremist and Tommy Robinson ally photographed in its campaign HQ. Strongly negative. Assess target Reform.	1	-1.0
535	Reform HQ described as a location where far-right extremist posed for photos — strongly negative. Assess target Reform.	1	-1.0
536	Reform described as endorsed by Voice of Wales — a group launching banners inciting violence and extremism. Strongly negative. Assess target Reform.	1	-1.0
537	Reform described as pretending to stand for people while 'associating with far-right activists and accepting Russian bribes'. Strongly negative. Assess target Reform.	1	-1.0
538	Reform described as having 'serious questions to answer' about racism and far-right association. Strongly negative. Assess target Reform.	1	-1.0
539	Reform described as showing 'disdain' for voters in Caerphilly by allowing a far-right figure into its campaign. Strongly negative. Assess target Reform.	1	-1.0
540	Reform described as habitually surrounding itself with 'far-right extremists' and 'convicted criminals'. Strongly negative. Assess target Reform.	1	-1.0
541	Reform described as a 'front organisation for extreme far-right groups'. Strongly negative. Assess target Reform.	1	-1.0
542	Reform described as 'getting embroiled in a scandal' every day and 'masking darker politics'. Strongly negative. Assess target Reform.	1	-1.0
543	Reform described as daily in new scandals — Russian bribes, far-right extremists. Strongly negative. Assess target Reform.	1	-1.0
544	Reform candidate's social media image described as possibly doctored — moderately negative. Assess target Reform.	1	-0.5
545	Plaid accused of overseeing 'division and decline' alongside Reform by Labour. Moderately negative. Assess target Plaid.	1	-0.5
546	Plaid positively framed — 'positive vision for Wales', Labour voters coming to Plaid. Assess target Plaid.	1	0.5
547	Reform described alongside Plaid as representing 'division and decline'. Moderately negative. Assess target Reform.	1	-0.5
548	Reform described as linked to Russia and pro-Putin messaging — attacks on Nation of Sanctuary 'attacking Ukrainian refugees'. Strongly negative. Assess target Reform.	1	-1.0
549	Assess target Farage. He is described as doing 'regular interviews on Russia Today', repeating Putin's messaging. Strongly negative.	1	-1.0
550	Reform described as having 'gone very quiet on Russia' and refusing scrutiny. Moderately negative. Assess target Reform.	1	-0.5
551	Reform described as attacking Nation of Sanctuary — undermining support for Ukrainians, linked to Russian bribery. Strongly negative. Assess target Reform.	1	-1.0
552	Reform described as spreading false claims and as having been subject to a formal complaint. Strongly negative. Assess target Reform.	1	-1.0
553	Assess target Farage. He is described as doing 'regular interviews on Russia Today — a Kremlin controlled channel', repeating Putin's messaging. Strongly negative.	1	-1.0
554	Reform described as a party that voters 'now look to' due to Conservative failure on immigration — Reform is portrayed as speaking itself. Assess target Reform.	0	0.0
555	Reform described as having polls suggesting it could be largest Senedd party — neutral factual context. Assess target Reform.	0	0.0
556	Reform described as having its regional director appoint a branch chair 'without a democratic vote', and a source calling him a 'misogynist who bullied off the last female chair'. Strongly negative. Assess target Reform.	1	-1.0
557	Plaid's proposed child payment dismissed as 'headline-catching gimmicks' and 'stealing ideas that haven't worked'. Moderately negative. Assess target Plaid.	1	-0.5
558	Plaid's proposal described as 'gimmicks', 'not even their own idea', and the Scottish equivalent having missed targets. Moderately negative. Assess target Plaid.	1	-0.5
559	Plaid positively framed — 'proven track record' while Reform offers 'empty slogans and no solutions'. Assess target Plaid.	1	0.5
560	Plaid positively framed — positive message, proven track record. Assess target Plaid.	0	0.0
561	Reform described as offering 'empty slogans while failing to offer any solutions'. Strongly negative. Assess target Reform.	1	-1.0
562	Reform described as offering 'empty slogans, no solutions'. Strongly negative. Assess target Reform.	1	-1.0
563	Reform described as having Russia links — candidate worked for jailed bribery figure. Strongly negative. Assess target Reform.	1	-1.0
564	Reform described as having former leader who took bribes; new leader described as having 'disgustingly cosied up to Russians'. Strongly negative. Assess target Reform.	1	-1.0
565	Reform described as having former leader who took Russian bribes; resulting in 'real possibility of corruption and chaos'. Strongly negative. Assess target Reform.	1	-1.0
566	Reform described as having six of seven elected Senedd members leave — implying dysfunction. Moderately negative. Assess target Reform.	1	-0.5
567	Plaid accused of having 'propped up' the Welsh Government. Moderately negative. Assess target Plaid.	1	-0.5
568	Plaid positively framed — leader defending Plaid's distinctive character from crude comparison with Reform. Assess target Plaid.	0	0.0
569	Plaid accused of 'wanting to divide our nations' — moderately negative framing from Labour FM. Assess target Plaid.	1	-0.5
570	Plaid accused of 'wanting to blame Westminster'. Mildly negative. Assess target Plaid.	1	-0.5
571	Reform described as comparable to Plaid — 'different poison, same bottle', peddling 'fantasy politics'. Moderately negative. Assess target Reform.	1	-0.5
572	Reform described as wanting to 'divide communities' and 'blame foreigners'. Strongly negative. Assess target Reform.	1	-1.0
573	Reform described as wanting to 'blame foreigners'. Moderately negative. Assess target Reform.	1	-0.5
574	Reform described as having made 'shrill calls' to scrap a scheme that mostly supported Ukrainian refugees. Strongly negative. Assess target Reform.	1	-1.0
575	Reform described as potentially wanting to 'turn away Ukrainians fleeing horrors of war'. Strongly negative. Assess target Reform.	1	-1.0
576	Reform described as having an 'immoral and unpopular stance' against Ukrainian refugees. Strongly negative. Assess target Reform.	1	-1.0
577	Reform described as the party speaking approvingly — this is Reform's own spokesperson praising it. Assess target Reform.	0	0.0
578	Assess target Farage. UKIP described as 'no longer the force it was when led by Nigel Farage' — neutral comparative context. Assess target Farage.	0	0.0
579	Plaid accused of 'fantasy politics' and 'blaming Westminster' — moderately negative. Assess target Plaid.	1	-0.5
580	Plaid accused of peddling 'fantasy politics' — 'different poison, same bottle'. Moderately negative. Assess target Plaid.	1	-0.5
581	Plaid described as potentially causing 'chaos' if it wins. Strongly negative. Assess target Plaid.	1	-1.0
582	Plaid is positively framed — responding to Labour negativity with a positive vision. Assess target Plaid.	1	0.5
583	Plaid positively framed — more and more Labour voters coming to Plaid with its 'positive vision'. Assess target Plaid.	1	0.5
584	Reform described alongside Plaid as 'neck and neck' — neutral polling context. Assess target Reform.	0	0.0
585	Reform described as 'putting Putin first' — strongly negative. Assess target Reform.	1	-1.0
586	Reform described as 'blaming foreigners' — moderately negative. Assess target Reform.	1	-0.5
587	Reform described as causing 'chaos' if it wins and as a 'serious threat'. Strongly negative. Assess target Reform.	1	-1.0
588	Reform described as not caring about Wales, having no Welsh policies, unable to spell Caerphilly. Strongly negative. Assess target Reform.	1	-1.0
589	Assess target Farage. He is described as needing to be 'kept out of Wales' — strongly negative.	1	-1.0
590	Reform described as near Labour in polls — neutral analytical context. Assess target Reform.	0	0.0
591	Plaid positively framed — 'positive vision', Labour voters coming to Plaid; Plaid described as offering something Labour cannot. Assess target Plaid.	1	0.5
592	Plaid positively framed — 'progressive government', 'fairer, more prosperous future', Plaid vs Reform's division. Assess target Plaid.	1	1.0
593	Plaid mentioned only as co-target of Reform's attacks on Nation of Sanctuary — not on target. Assess target Plaid.	0	0.0
594	Reform described as spreading false claims about Nation of Sanctuary, failing to mention 85% went to Ukrainians. Strongly negative. Assess target Reform.	1	-1.0
595	Reform candidate described as immediately attacking the Nation of Sanctuary scheme — Reform is the speaker. Assess target Reform.	0	0.0
596	Reform described as failing to mention the true beneficiaries of Nation of Sanctuary — misleading framing. Moderately negative. Assess target Reform.	1	-0.5
597	Reform described as 'arrogantly taking for granted the votes of the people of Wales' and as essentially former Tories rebranded. Strongly negative. Assess target Reform.	1	-1.0
598	Reform described as trying to 'con people' into thinking it is new, when it is 'former Tories rebranded'. Strongly negative. Assess target Reform.	1	-1.0
599	Reform described as having shared smears from a far-right group in its own branch group chat. Strongly negative. Assess target Reform.	1	-1.0
600	Reform described as having shared far-right smears about a named individual in its branch group chat. Strongly negative. Assess target Reform.	1	-1.0
601	Reform branch chair strenuously denied any relationship with Voice of Wales — Reform is the speaker defending itself. Assess target Reform.	0	0.0
602	Reform described as consisting of political opportunists who have jumped from party to party — moderately negative. Assess target Reform.	1	-0.5
603	Reform described as a 'pantomime carefully staged to convince voters it is something new' while its people are former Tories — strongly negative. Assess target Reform.	1	-1.0
604	Reform described as staging a 'pantomime' to deceive voters, with its manifesto written by an ex-Conservative. Strongly negative. Assess target Reform.	1	-1.0
605	Reform described as staffed by ex-Conservatives, suggesting it is not genuinely new. Moderately negative. Assess target Reform.	1	-0.5
606	Reform described as having internal messages revealing 'jokes about slapping a Senedd Member' and spreading far-right misinformation. Strongly negative. Assess target Reform.	1	-1.0
607	Reform described as having internal chats revealing violence jokes and far-right misinformation links. Strongly negative. Assess target Reform.	1	-1.0
608	Reform described as having a member leave amid allegations of 'rigged' selection and 'mistreatment'. Moderately negative. Assess target Reform.	1	-0.5
609	Plaid is positively framed — using Farage's own words against Reform's NHS position to expose hypocrisy. Plaid is the active challenger. Assess target Plaid.	0	0.0
610	Plaid accused of being 'handmaidens' to Labour over NHS failures — moderately negative. Assess target Plaid.	1	-0.5
611	Plaid's MS raising a point of order defending his party against a claim it was encouraging illegal immigration. Assess target Plaid — Plaid is the speaker defending itself.	0	0.0
612	Assess target Farage. He is accused of failing to stand up against false health claims — moderately negative.	1	-0.5
613	Reform described as having 'no substance, no answers, just empty rhetoric' — strongly negative. Assess target Reform.	1	-1.0
614	Reform described as a party in which colleagues have no confidence. Moderately negative. Assess target Reform.	1	-0.5
615	Reform described as a target for 'dog whistle politics' by Tories — neutral/mildly negative framing. Assess target Reform.	0	0.0
616	Reform's regional director described as having previously made 'disparaging remarks' about Farage and urged voters to back Tories — moderately negative for internal credibility. Assess target Reform.	1	-0.5
617	Assess target Farage. Reform director previously called him untrustworthy, then U-turned — questions Farage's trustworthiness. Moderately negative.	1	-0.5
618	Assess target Brexit Party. Director praised the Brexit Party publicly — neutral/positive framing of the Brexit Party by a supporter. Assess target Brexit Party.	0	0.0
619	Assess target Farage. Questions posed to director about why he was 'trolling Farage' in 2019 — implicitly negative for Farage's trustworthiness. Moderately negative.	1	-0.5
620	Reform described as having a prominent Welsh politician with 'no head for politics', 'no answers, no ideas, no clue', and lacking credible voices. Strongly negative. Assess target Reform.	1	-1.0
621	Reform described as having a 'disastrous TV appearance' with a councillor who 'had no answers, no ideas and no clue'. Strongly negative. Assess target Reform.	1	-1.0
622	Reform described as attracting 'oddballs and racist types', with a prominent figure refusing to condemn a racist slur. Strongly negative. Assess target Reform.	1	-1.0
623	Reform described as having a spokesman with 'no head for politics' who could not answer policy questions. Strongly negative. Assess target Reform.	1	-1.0
624	Reform described as having a representative who 'had no answers', and a Reform-led Senedd would 'jeopardise free prescriptions and the NHS'. Strongly negative. Assess target Reform.	1	-1.0
625	Reform described as spreading misinformation via an 'unholy alliance' with Conservatives, implying 85% of money went to Ukrainians they claim to support. Strongly negative. Assess target Reform.	1	-1.0
626	Plaid is positively framed — a Plaid councillor defended women against a decision to postpone VAWDASV training. Assess target Plaid.	1	0.5
627	Reform described as having a Senedd security guard councillor who should not keep his job — moderately negative. Assess target Reform.	1	-0.5
628	Reform councillor described as someone others believe 'shouldn't keep his job' at the Senedd due to political conflict of interest — moderately negative. Assess target Reform.	1	-0.5
629	Reform described as having 'put aside well-established neutrality rules' to accommodate a candidate — moderately negative. Assess target Reform.	1	-0.5
630	Reform described as having the Commission 'running scared' of them and as unsettling for Welsh values of sanctuary. Moderately negative. Assess target Reform.	1	-0.5
631	Plaid described as having 'vying for top slot' against Reform — neutral polling context. Assess target Plaid.	0	0.0
632	Reform described as vying for top slot against Plaid — neutral polling context. Assess target Reform.	0	0.0
633	Plaid is the speaker sharing the article about the Mirror's framing — Plaid councillor is acting, not being assessed. Assess target Plaid.	0	0.0
634	Plaid councillor shared an article about the Mirror labelling Owain Glyndŵr a warlord, which sparked backlash — Plaid councillor is neutral actor. Assess target Plaid.	0	0.0
635	Reform described as having a 'rigged' selection process and mistreating members. Strongly negative. Assess target Reform.	1	-1.0
636	Reform described as a party a member has been 'mistreated' by badly, with farmers' concerns minimised. Strongly negative. Assess target Reform.	1	-1.0
637	Plaid accused of having a 'toxic Tourism Tax' that harms the economy. Moderately negative. Assess target Plaid.	1	-0.5
638	Plaid described as having 'thrown the kitchen sink' into a motion — 'antithesis of responsible politics'. Strongly negative. Assess target Plaid.	1	-1.0
639	Plaid described as having 'thrown the kitchen sink' — lambasted by a former FM as irresponsible. Strongly negative. Assess target Plaid.	1	-1.0
640	Plaid accused of having 'propped up' Labour governments for 26 years, and independence agenda described as 'economically unworkable fantasy'. Strongly negative. Assess target Plaid.	1	-1.0
641	Plaid's independence described as an 'unworkable fantasy' that would cause 'deep cuts not prosperity'. Strongly negative. Assess target Plaid.	1	-1.0
642	Plaid's 20mph policy described as 'nothing short of a disaster for Wales', a 'one-size-fits-all approach that doesn't work'. Strongly negative. Assess target Plaid.	1	-1.0
643	Plaid's 20mph approach described as a 'one-size-fits-all' failure. Moderately negative. Assess target Plaid.	1	-0.5
644	Reform described as polling with a surge that could put election-changing powers in hands of a Farage government — framed as a warning. Moderately negative. Assess target Reform.	1	-0.5
645	Assess target Farage. Described as potentially holding Welsh election powers with 'nefarious purposes'. Strongly negative.	1	-1.0
646	Plaid polling ahead, with Reform neck and neck — neutral analytical context. Assess target Plaid.	0	0.0
647	Plaid described as continuing to lead polls at 30% — neutral/mildly positive polling context. Assess target Plaid.	0	0.0
648	Plaid positively framed — 'pro-Wales government', will 'stand up for Wales and deliver real change'; contrasted with 'divisive Reform'. Assess target Plaid.	1	1.0
649	Reform described as neck and neck in polls — neutral analytical context. Assess target Reform.	0	0.0
650	Reform described as 'divisive', doesn't care about Wales, would 'privatise the NHS'. Strongly negative. Assess target Reform.	1	-1.0
651	Plaid positively framed — 'dedicated decades to fighting for local people', 'community champion', contrast to Reform 'political chancer'. Assess target Plaid.	1	1.0
652	Plaid accused by Conservatives of focusing on the constitution instead of patients — moderately negative. Assess target Plaid.	1	-0.5
653	Plaid described as possibly engaged in 'blurring lines between political candidacy and corporate lobbying' and 'using political influence for financial benefit'. Strongly negative. Assess target Plaid.	1	-1.0
654	Plaid is mentioned only as a competitor in a past election — neutral factual context. Assess target Plaid.	0	0.0
655	Plaid positively framed — 'community champion', candidate 'dedicated decades to fighting for local people'. Assess target Plaid.	1	1.0
656	Plaid positively framed — community champion vs Reform 'political chancer'. Assess target Plaid.	1	1.0
657	Reform described as 'a last chance raft for sinking Tories', its candidate a 'political chancer' with US right-wing funding links. Strongly negative. Assess target Reform.	1	-1.0
658	Reform candidate described as 'political chancer' who completely changed his views after joining Reform. Strongly negative. Assess target Reform.	1	-1.0
659	Reform candidate described as a 'political chancer' — strongly negative. Assess target Reform.	1	-1.0
660	Reform described as 'nothing but a last chance raft for sinking Tories'. Strongly negative. Assess target Reform.	1	-1.0
661	Reform described as a 'political chancer with Reform' — strongly negative. Assess target Reform.	1	-1.0
662	Reform candidate linked to a US-funded right-wing think tank and the jailed Nathan Gill. Strongly negative. Assess target Reform.	1	-1.0
663	Plaid described as blocking a Reform candidate's 'Trump-backing, anti-Wales agenda'. Assess target Plaid — Plaid is the speaker.	0	0.0
664	Reform described as having a 'parachuted in' candidate who 'doesn't care about Wales', has 'Trump-backing, anti-Wales agenda'. Strongly negative. Assess target Reform.	1	-1.0
665	Reform described as having a 'Trump-backing, anti-Wales agenda' and not caring about Wales. Strongly negative. Assess target Reform.	1	-1.0
666	Reform candidate described as seeking to 'put an end' to Cardiff Bay ignoring people — Reform candidate is the speaker. Assess target Reform.	0	0.0
667	Plaid positively framed — a Plaid win means keeping Reform out and protecting the NHS. Assess target Plaid.	1	0.5
668	Reform election propaganda described as 'deceptive' and causing 'uproar' among voters. Strongly negative. Assess target Reform.	1	-1.0
669	Assess target Farage. His party's propaganda described as 'deceptive' — moderately negative.	1	-0.5
670	Reform described as sending a 'deceptive' letter posing as a neighbour — strongly negative. Assess target Reform.	1	-1.0
671	Reform described as wanting to 'hand all power over Wales back to England' and privatise the NHS. Strongly negative. Assess target Reform.	1	-1.0
672	Reform letter described as 'deceptive' — strongly negative. Assess target Reform.	1	-1.0
673	Reform letter described as 'deceptive' campaign propaganda — neutral analytical framing. Assess target Reform.	0	0.0
674	Plaid described as having taken votes from a Labour candidate with a 'proven track record' — neutral factual context about Plaid's electoral strength. Assess target Plaid.	0	0.0
675	Plaid described as a 'cut'-blaming party by a Labour source — neutral/mildly negative. Assess target Plaid.	0	0.0
676	Reform described as having had 9 of 16 branch chairs removed and running an 'authoritarian' operation. Strongly negative. Assess target Reform.	1	-1.0
677	Reform described as 'not capable' of leading, not holding democratic elections, and running an 'authoritarian culture'. Strongly negative. Assess target Reform.	1	-1.0
678	Reform described as 'probably not wanting democratisation', preferring 'authoritarian culture'. Strongly negative. Assess target Reform.	1	-1.0
679	Reform described as 'not democratic' at the ground level in Wales. Strongly negative. Assess target Reform.	1	-1.0
680	Reform described as having a defector who 'dropped a bombshell' suggesting the party could back Senedd abolition. Moderately negative. Assess target Reform.	1	-0.5
681	Reform described as likely to face 'embarrassment' from its MS's Senedd abolition comments. Moderately negative. Assess target Reform.	1	-0.5
682	Reform described as unable to make Wales better — opposition parties will argue its election promises are 'worthless'. Strongly negative. Assess target Reform.	1	-1.0
683	Reform described as having a defector who dropped a bombshell — moderately negative for coherence and credibility. Assess target Reform.	1	-0.5
684	Reform described as having its MS hint at abolishing the Senedd against its own leader's stated position. Moderately negative for party coherence. Assess target Reform.	1	-0.5
685	Reform described as treating Wales as 'nothing more than a stepping stone to Downing Street' with 'contempt'. Strongly negative. Assess target Reform.	1	-1.0
686	Reform leader described as 'making up nonsense' about coal mines — strongly negative. Assess target Reform.	1	-1.0
687	Reform described as offering 'false hopes and lies', 'an insult to the people of Wales', using Wales to 'mop up salaries'. Strongly negative. Assess target Reform.	1	-1.0
688	Reform described as offering 'false hopes and lies', treating Wales as a salary base. Strongly negative. Assess target Reform.	1	-1.0
689	Reform described as risking 'tearing up countryside and dragging Wales backwards'. Strongly negative. Assess target Reform.	1	-1.0
690	Reform described as having a Welsh councillor who admitted deliberately spreading 'malicious rumours' about his own party leader. Strongly negative for party coherence. Assess target Reform.	1	-1.0
691	Reform described as having a councillor who spread a 'fairy tale' malicious rumour about Farage. Moderately negative. Assess target Reform.	1	-0.5
692	Reform described as having a Conservative federation chairman promoting Reform propaganda, causing 'genuine questions' about his judgment. Moderately negative framing of Reform. Assess target Reform.	0	0.0
693	Reform described as having a Tory chair promoting its propaganda — neutral factual context. Assess target Reform.	0	0.0
694	Reform described as having a councillor deliberately spreading malicious lies about Farage. Strongly negative. Assess target Reform.	1	-1.0
695	Reform councillor spread 'malicious rumours' — strongly negative for party discipline. Assess target Reform.	1	-1.0
696	Reform described as branded 'insensitive' for sending campaign mail on the day of the late MS's funeral. Strongly negative. Assess target Reform.	1	-1.0
697	Reform described as the target of promotion by a senior Tory who broke party rules — neutral framing of Reform. Assess target Reform.	0	0.0
698	Reform described as the target of pro-Reform propaganda sharing — neutral. Assess target Reform.	0	0.0
699	Reform described as having propaganda actively shared by a Tory chairman — neutral/mildly positive from that framing. Assess target Reform.	0	0.0
700	Reform described as 'insensitive' for campaigning on the day of the late MS's funeral. Strongly negative. Assess target Reform.	1	-1.0
701	Reform described as 'insensitive' for sending a campaign letter on the day of the funeral. Strongly negative. Assess target Reform.	1	-1.0
702	Reform described as 'crass' for not pausing campaigning as all other parties did. Strongly negative. Assess target Reform.	1	-1.0
703	Reform described as 'incredibly insensitive', pressing ahead with a 'cynical agenda' while others showed respect. Strongly negative. Assess target Reform.	1	-1.0
704	Reform described as 'crass and disrespectful', more interested in 'fuelling Farage's personality cult' than standing up for people. Strongly negative. Assess target Reform.	1	-1.0
705	Reform described as mainly ex-Tory politicians dependent on fossil fuel funding, pushing fracking on communities. Strongly negative. Assess target Reform.	1	-1.0
706	Assess target Farage. Described as likely unaware of mass protests against fracking — incompetent/out of touch. Moderately negative.	1	-0.5
707	Plaid is mentioned only as having senior figures attend a public lecture — neutral factual context. Assess target Plaid.	0	0.0
708	Reform described as at odds with its own voters who send children to Welsh medium schools — moderately negative for inconsistency. Assess target Reform.	1	-0.5
709	Reform described as likely to 'fan the flames' of hostility over the Welsh language. Strongly negative. Assess target Reform.	1	-1.0
710	Reform described as fanning flames of language hostility, creating an 'increasingly unsustainable' contradiction. Moderately negative. Assess target Reform.	1	-0.5
711	Reform described as a 'political paradox' dismantling the very policies it wins votes on — moderately negative. Assess target Reform.	1	-0.5
712	Plaid accused of 'fast tracking Reform members' to be candidates — moderately negative for judgment. Assess target Plaid.	1	-0.5
713	Reform described as a 'remarkable transformation' when a member quickly joins Plaid — neutral/mildly ironic. Assess target Reform.	0	0.0
714	Plaid candidate described as working for a payday loan company in conflict with Plaid's anti-poverty aims. Strongly negative. Assess target Plaid.	1	-1.0
715	Plaid described as having ruled out deals with Conservatives. Neutral factual. Assess target Plaid.	0	0.0
716	Plaid described as having ruled out any deal with Conservatives — assessed neutrally as a strategic choice. Assess target Plaid.	0	0.0
717	Reform described as potentially taking control of the Senedd, leading it to 'descend into chaos'. Strongly negative. Assess target Reform.	1	-1.0
718	Reform described as attracting a former Tory MP playing a 'come and get me' game — neutral/mildly negative for opportunism. Assess target Reform.	0	0.0
719	Reform councillor described as having called for benefits claimants to be 'put down' — strongly negative. Assess target Reform.	1	-1.0
720	Reform described as having a rumoured candidate promised the number one spot — neutral analytical context. Assess target Reform.	0	0.0
721	Reform described as having a former Conservative standing a better chance under its banner — neutral electoral observation. Assess target Reform.	0	0.0
722	Reform described as having an 'unimpressive' performance in a Cardiff by-election, achieving only fourth place with 13% of the vote. Moderately negative. Assess target Reform.	1	-0.5
723	Reform described as having a former member who is 'ex-criminal' fronting a linked party — strongly negative by association. Assess target Reform.	1	-1.0
724	Reform described as having had a 'seismic defection' because it wasn't extreme right enough for a Tommy Robinson ally — moderately negative. Assess target Reform.	1	-0.5
725	Reform described as having activists who were relieved a far-right figure left, but the group's alarming history is detailed — moderately negative. Assess target Reform.	1	-0.5
726	Reform described as facing a 'relatively new threat' to established parties — neutral electoral framing. Assess target Reform.	0	0.0
727	Assess target Farage. His party described as having nearly won its first Cardiff council seat — neutral electoral observation.	0	0.0
728	Plaid described as having campaigned heavily but failed to win due to Labour vote collapse. Moderately negative for Plaid's performance. Assess target Plaid.	1	-0.5
729	Plaid described as making 'highly ambitious' claims to win three Senedd seats — moderately negative framing of Plaid's electoral prospects. Assess target Plaid.	1	-0.5
730	Plaid described as having had a 'very disappointing result' — moderately negative. Assess target Plaid.	1	-0.5
731	Reform described as a 'right-wing populist party' that won on a Labour vote collapse — neutral analytical framing. Assess target Reform.	0	0.0
